"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Alagoinhas","ifbaiano_alagoinhas","DTjNZ2_jY1B","15/01/2026 00:00","""As portas do conhecimento estão abertas em 2026! O Campus Alagoinhas está pronto para receber você no curso que está transformando a vida ...""","https://www.instagram.com/p/DTjNZ2_jY1B/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","1"
"Alagoinhas","ifbaiano_alagoinhas","DVl0o70ETe6","07/03/2026 00:00","""Olá, bom dia minha gente, olha que fantástico, istamus aqui com o baiano aluno. Professora Carla, professor Genivaldo olha, que trouxe essa ...""","https://www.instagram.com/reel/DVl0o70ETe6/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","3"
"Alagoinhas","ifbaiano_alagoinhas","DVMTF2sEUfP","25/02/2026 00:00","""163 likes, 6 comments - snct.alagoinhas.ba on February 25, 2026: 'Na SNCT do IF Baiano – Campus Alagoinhas, o primeiro dia já começou ...""","https://www.instagram.com/p/DVMTF2sEUfP/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","2"
"Alagoinhas","ifbaiano_alagoinhas","DXHIIysDcT-","14/04/2026 00:00","""✨ Foi dado início ao primeiro dia da Jornada Pedagógica 2026 do IF Baiano – Campus Valença! Um tempo de reflexão, diálogo e planejamento ...""","https://www.instagram.com/p/DXHIIysDcT-/?__d=1%E5%B1%B1%E4%B8%9C%E6%9E%A3%E5%BA%84%E6%83%B3%E8%A6%81%E6%89%BE%E5%A5%B3%E4%BE%8D%E4%BC%9A%E6%89%80%E5%85%AC%E5%85%B3%3F%2B-%2B%E6%9E%A3%E5%BA%84%E5%A5%B3%E4%BE%8D.%E2%9C%94%EF%B8%8Fbaoyang.bond","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","4"
"Alagoinhas","ifbaiano_alagoinhas","DUWPXpfEbzy","04/02/2026 00:00","""Está chegando sua oportunidade de se preparar para ingressar no IF Baiano. Vem aí o #PartiuIF! Cursinho gratuito + auxílio de R$ 200 mensais ...""","https://www.instagram.com/p/DUWPXpfEbzy/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","2"
"Alagoinhas","ifbaiano_alagoinhas","DXKWlY2kRgL","15/04/2026 00:00","""... likes, 4 comments - ifbaiano_alagoinhas on April 15, 2026 ... O IF Baiano segue de portas abertas e com grandes expectativas ...""","https://www.instagram.com/reel/DXKWlY2kRgL/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Alagoinhas","ifbaiano_alagoinhas","DXUAs4-DT6k","19/04/2026 00:00","""Hoje, o IF Baiano - Campus Alagoinhas reafirma seu compromisso na preservação da história, da cultura e dos direitos das populações ...""","https://www.instagram.com/p/DXUAs4-DT6k/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","4"
"Alagoinhas","ifbaiano_alagoinhas","DXlEp3IDZyZ","25/04/2026 00:00","""Novo ano letivo, novos caminhos e grandes conquistas nos esperam! ✨ No dia 27 de abril, retornamos às aulas no IF Baiano – Campus ...""","https://www.instagram.com/p/DXlEp3IDZyZ/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Alagoinhas","ifbaiano_alagoinhas","C9pQK_rpuXw","16/05/2026 15:38","""O IF Baiano - Campus Alagoinhas reforça o convite para a reunião com país, mães e responsáveis dos alunos do 1° Ano dos cursos técnicos ...""","https://www.instagram.com/p/C9pQK_rpuXw/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Alagoinhas","ifbaiano_alagoinhas","C33MZ5nJElX","16/05/2026 15:38","""Ontem iniciamos um novo ciclo com elementos que considero essenciais: escuta, acolhimento, partilha, conexão e propósito. Reuni a equipe ...""","https://www.instagram.com/p/C33MZ5nJElX/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Alagoinhas","ifbaiano_alagoinhas","DI2B3AzzlfS","16/05/2026 15:38","""✨ No dia 27 de abril, retornamos às aulas no IF Baiano – Campus Alagoinhas, para os cursos técnicos integrados, subsequente em Agroindústria e ...""","https://www.instagram.com/p/DI2B3AzzlfS/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Alagoinhas","ifbaiano_alagoinhas","CSJw1CRr28O","16/05/2026 15:38","""Ele serve para organizar os prazos das atividades durante a elaboração do seu trabalho de pesquisa. #projetodepesquisa #cronogramadepesquisa # ...""","https://www.instagram.com/p/CSJw1CRr28O/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Alagoinhas","ifbaiano_alagoinhas","DYWqtJxP3f6","15/05/2026 18:27","""O IFBaiano Campus Alagoinhas convida todos(as) os(as) responsáveis legais de nossos(as) estudantes dos Cursos Técnicos Integrados ao Ensino ...""","https://www.instagram.com/p/DYWqtJxP3f6/?__d=1%2F","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Alagoinhas","ifbaiano_alagoinhas","DDZ0XaBJAII","22/05/2026 18:21","""O Instituto Federal Baiano (IF Baiano) lamenta, com grande pesar, o falecimento de Elton Linton Oliveira Magalhães, professor de Língua ...""","https://www.instagram.com/p/DDZ0XaBJAII/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Alagoinhas","ifbaiano_alagoinhas","CehUy_-jfGz","22/05/2026 18:21","""O Instituto Federal Baiano foi criado em dois mil e oito e é uma instituição de ensino médio e superior focado na educação profissional e ...""","https://www.instagram.com/p/CehUy_-jfGz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
