"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Catu","ifbaianocampuscatu","DHbMBqSOH7C","13/05/2026 16:39","""Entre os dias 13 e 17 de abril de 2026, o IF Baiano Campus Catu sediou o Curso de Formação dos Docentes de Educação Física, que é uma ação ...""","https://www.instagram.com/reel/DHbMBqSOH7C/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","DB1Nc4qufrN","13/05/2026 16:39","""De 30 de outubro a 1º de novembro no Campus Catu, está acontecendo o 7º Conselho de Entidades de Base do IF Baiano.""","https://www.instagram.com/p/DB1Nc4qufrN/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","DXCg4TyFi1f","12/04/2026 00:00","""1210 likes, 14 comments - ifbaianocampuscatu on April 12, 2026: 'Nossos novos/as estudantes chegaram!! Cada novo ciclo traz entusiasmo, ...""","https://www.instagram.com/p/DXCg4TyFi1f/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","4"
"Catu","ifbaianocampuscatu","DTwHs6RjnH7","20/01/2026 00:00","""VEM SER IF BAIANO EM 2026! O seu futuro começa agora e é 100% GRATUITO! O Campus Catu está de portas abertas esperando por você com ...""","https://www.instagram.com/p/DTwHs6RjnH7/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","1"
"Catu","ifbaianocampuscatu","DW6-18AAZGv","14/04/2026 18:22","""No projeto, materiais que seriam descartados viram matéria-prima para biofilmes com potencial de aplicação na conservação de alimentos.""","https://www.instagram.com/reel/DW6-18AAZGv/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","4"
"Catu","ifbaianocampuscatu","DBPDbwiPvd7","14/05/2026 18:22","""... IF Catu in IF Baiano Campus Catu with @britoluciane, @georgiaxavier_geo, ... Instagram: @ifbaianocampuscatu Site: https://lingresso ...""","https://www.instagram.com/p/DBPDbwiPvd7/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Catu","ifbaianocampuscatu","DJZ5gSJR6vz","15/05/2026 17:17","""Demos mais um passo na construção do novo Campus do IF Baiano em Remanso! A comissão se reuniu para iniciar a definição da agenda de decisão ...""","https://www.instagram.com/reel/DJZ5gSJR6vz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Catu","ifbaianocampuscatu","DHUJATZRUrs","16/05/2026 15:39","""O IF Baiano está com inscrições abertas para cem vagas em cinco cursos FIC no campus Uruçuca. As opções são voltadas para produção de alimentos, ...""","https://www.instagram.com/reel/DHUJATZRUrs/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Catu","ifbaianocampuscatu","DHUC57FI3PE","16/05/2026 15:39","""O Instituto Federal Baiano (IF Baiano) – Campus Catu tem origem na Fazenda Modelo de Criação, criada em 1895 para o melhoramento genético do ...""","https://www.instagram.com/reel/DHUC57FI3PE/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Catu","ifbaianocampuscatu","DIJkttJth8l","16/05/2026 15:39","""Um projeto de divulgação científica do IFBA no campus Serrinha aprovado no edital PIB X júnior número sessenta de dois mil e vinte e quatro. O ...""","https://www.instagram.com/reel/DIJkttJth8l/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Catu","ifbaianocampuscatu","C432uvSPCLc","17/05/2026 15:43","""Informamos que o IF Baiano Campus Catu está com novos números de telefone. Anote aí: Secretaria e Registros Acadêmicos (71) 982646240. Recepção ...""","https://www.instagram.com/p/C432uvSPCLc/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DAqk9bovc9w","17/05/2026 15:43","""A reprografia e o posto de vendas do IF Baiano Campus Senhor do Bonfim agora já contam com a opção de recebimento via PIX. Fique ligado, pois a ...""","https://www.instagram.com/reel/DAqk9bovc9w/?hl=en","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DW2ERmMkjYo","18/04/2026 18:23","""Prestigiando a 4ª edição da Tenda da Ciência, realizada pelo IF Baiano – Campus Guanambi. Um evento que aproxima a ciência da comunidade, ...""","https://www.instagram.com/reel/DW2ERmMkjYo/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Catu","ifbaianocampuscatu","DAizM2nxdxh","20/05/2026 19:56","""o Programa Partiu IF oferece vagas gratuitas, curso preparatório e bolsa de R$ 200 por mês. Participe do Partiu IF nos campi Alagoinhas Catu ...""","https://www.instagram.com/reel/DAizM2nxdxh/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","C8Fny-3P2Dt","20/05/2026 19:56","""Estandes do Ciência Itinerante do IF Baiano campus Catu marcam presença na 1ª Feira Municipal de Meio Ambiente de Catu""","https://www.instagram.com/p/C8Fny-3P2Dt/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","DITyG0tOqit","21/05/2026 18:28","""⚠️ Também há inscrições quase encerrando no Campus Catu (até 19/04), com 175 vagas para cursos voltados a produção de pães, licores, frutas, ...""","https://www.instagram.com/reel/DITyG0tOqit/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Catu","ifbaianocampuscatu","DGERPd9R0mL","24/05/2026 15:48","""O IF Baiano – Campus Serrinha está com inscrições abertas para cursos técnicos subsequentes em Instrumento Musical (noturno) e Agropecuária ...""","https://www.instagram.com/reel/DGERPd9R0mL/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DYXNuhJDhIf","17/05/2026 15:48","""Uma visita técnica realizada por alunos e professores do curso técnico subsequente em Meio Ambiente do IF Baiano promoveu integração entre ...""","https://www.instagram.com/reel/DYXNuhJDhIf/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DH9fZ50yg-7","24/05/2026 15:48","""Vamos conhecer os projetos de extensão desenvolvidos no IF Baiano Campus Serrinha?""","https://www.instagram.com/reel/DH9fZ50yg-7/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DXo4a2hgU2Y","03/05/2026 15:48","""Hoje, essa realidade está mudando! O IF Baiano segue avançando nas obras para proporcionar educação, oportunidade e esperança para o nosso povo.""","https://www.instagram.com/reel/DXo4a2hgU2Y/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DY2ZW9mx_-E","27/05/2026 20:40","""Em 27 de dezembro deste ano, nosso campus completa 16 anos de história. Fruto da segunda fase da expansão da Rede Federal de Educação ...""","https://www.instagram.com/reel/DY2ZW9mx_-E/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","DYkfa3LgiQc","20/05/2026 00:00","""O IF Baiano Campus Catu realizará no dia 03/06/26 a oficina de um app que visa facilitar o ensino e a aprendizagem da química com o uso de ...""","https://www.instagram.com/p/DYkfa3LgiQc/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Catu","ifbaianocampuscatu","DYut1FaEdHU","24/05/2026 00:00","""Participar do JOIF no IF Baiano Campus Catu é algo tão especial que, mesmo após 10 anos, continua marcando gerações de estudantes.""","https://www.instagram.com/p/DYut1FaEdHU/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Catu","ifbaianocampuscatu","DYAnTBeDpv9","12/05/2026 15:57","""325 likes, 3 comments - belmontu on May 6, 2026: 'Campus looking gorgeous as usual '.""","https://www.instagram.com/reel/DYAnTBeDpv9/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","5"
