"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Governador_Mangabeira","ifbaiano.govmangabeira","DXpTsxojKkd","27/04/2026 00:00","""SEMANA ACADEMICA CURSO SUPERIOR TECNOLOGIA EM AGROINDÚSTRIA Data: 30/04 DIA 03 Local: Auditório do IF Baiano- Campus Governador Mangabeira ...""","https://www.instagram.com/p/DXpTsxojKkd/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYFSLsAkfRM","08/05/2026 18:22","""No dia 06/05/2026, o IF Baiano – Campus Governador Mangabeira recebeu a visita dos(as) estudantes do curso de Licenciatura em Pedagogia da ...""","https://www.instagram.com/p/DYFSLsAkfRM/?img_index=2","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYFOSlTEUmo","08/05/2026 18:22","""✨ Educação pública de qualidade também se constrói com acesso ao conhecimento! No início do ano letivo de 2026, o IF Baiano – Campus Governador ...""","https://www.instagram.com/p/DYFOSlTEUmo/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DDNNk6OPoLI","15/05/2026 17:17","""O IF Baiano empossou, na tarde desta segunda-feira (23), os diretores-gerais eleitos para a gestão 2026–2030 dos 14 campi da instituição.""","https://www.instagram.com/p/DDNNk6OPoLI/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DDhXNNQRXaM","20/05/2026 19:56","""A comunidade do IF Baiano Campus Governador Mangabeira agradece ao Deputado Federal Jorge Solla pela destinação da Emenda Parlamentar, que ...""","https://www.instagram.com/p/DDhXNNQRXaM/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DXK-c4yjfGF","20/04/2026 19:56","""O IF Baiano – Campus Santa Inês está com vagas remanescentes abertas para a Pós-Graduação em Educação de Jovens e Adultos (EJA) articulada à ...""","https://www.instagram.com/p/DXK-c4yjfGF/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Governador_Mangabeira","ifbaiano.govmangabeira","CxtuO4VpZ9_","20/05/2026 19:56","""Laylla Cruz, do Campus Serrinha, conquistou o primeiro lugar no Atletismo, 100m rasos. Parabéns à estudante e ao professor. Vocês são gigantes!""","https://www.instagram.com/p/CxtuO4VpZ9_/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DXq_nLCFEMJ","28/04/2026 00:00","""126 likes, 0 comments - ifbaiano.govmangabeira on April 27, 2026: ' *Informativo: Primeiro dia de aula [Partiu IF]* Olá a todos e todas!""","https://www.instagram.com/p/DXq_nLCFEMJ/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","4"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYj18wPju5y","20/05/2026 15:47","""O SEU FUTURO COMEÇA NO IF BAIANO – CAMPUS SERRINHA! Inscrições gratuitas para cursos com nota 5 na avaliação do MEC, você só encontra no IF ...""","https://www.instagram.com/p/DYj18wPju5y/?img_index=3","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DCHiYvFvG_E","27/05/2026 19:39","""Vagas remanescentes para curso FIC. Aulas em Governador Mangabeira. Link de inscrição: https://forms.gle/SNwAf8Cg14SyTEpe9. Carga horária de 20 ...""","https://www.instagram.com/p/DCHiYvFvG_E/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DCgvDCbsxLj","27/05/2026 19:39","""No último dia 20 de maio, o IF Baiano Campus Governador Mangabeira realizou uma programação especial em celebração ao Dia Mundial da Abelha, ...""","https://www.instagram.com/p/DCgvDCbsxLj/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYt8EEwhACz","28/05/2026 19:59","""O IF Baiano tem realizado um excelente trabalho na descaracterização de mercadorias apreeendidas. Vestuário, vinhos, caixa de som, perfumes, tv ...""","https://www.instagram.com/reel/DYt8EEwhACz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DY8R3AdsMzn","30/05/2026 13:01","""44 likes, 4 comments - ifbaiano.govmangabeira on May 29, 2026: ' O IF Baiano – Campus Governador Mangabeira parabeniza o IF Baiano – Campus ...""","https://www.instagram.com/p/DY8R3AdsMzn/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYzV78nx9AC","26/05/2026 13:01","""✨ IF Baiano – Campus Itapetinga Formando talentos, transformando vidas e conectando educação, ciência e sociedade. #IFBaiano #CampusItapetinga ...""","https://www.instagram.com/p/DYzV78nx9AC/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DY8R8slFDdO","29/05/2026 13:12","""90 likes, 4 comments - ifbaiano.govmangabeira on May 29, 2026: ' O IF Baiano – Campus Governador Mangabeira parabeniza o IF Baiano – Campus ...""","https://www.instagram.com/p/DY8R8slFDdO/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYowYY7EWJv","22/05/2026 00:00","""✨ Educação pública de qualidade também se constrói com acesso ao conhecimento! No início do ano letivo de 2026, o IF Baiano – Campus Governador ...""","https://www.instagram.com/p/DYowYY7EWJv/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Governador_Mangabeira","ifbaiano.govmangabeira","DYe1IGRxqDA","18/05/2026 00:00","""‍ ‍ Inscrições: de 21 a 27 de maio de 2026 Confira o edital completo e todas as informações em: Portal de Concursos IF Baiano #IFBaiano ...""","https://www.instagram.com/p/DYe1IGRxqDA/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","5"
