"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Guanambi","ifbaianoguanambi","DWmji_cEf0V","01/04/2026 00:00","""O IF Baiano Campus Guanambi realizou na última sexta-feira, 27 de março, uma cerimônia de colação de grau na sala de reuniões do gabinete da ...""","https://www.instagram.com/p/DWmji_cEf0V/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Guanambi","ifbaianoguanambi","DXK25cagHaX","15/04/2026 00:00","""GUANAMBI — Estudantes do Instituto Federal Baiano (IF Baiano) – Campus Guanambi conquistaram medalhas de ouro, prata e bronze na Olimpíada ...""","https://www.instagram.com/p/DXK25cagHaX/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Guanambi","ifbaianoguanambi","DXw2adXDtky","30/04/2026 00:00","""O IF Baiano - Campus Guanambi reforça o convite: venham participar de nossas atividades gratuitas nos dias 24 e 25 de abril. A ciência é para ...""","https://www.instagram.com/p/DXw2adXDtky/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","4"
"Guanambi","ifbaianoguanambi","DXjwpxxDe38","25/04/2026 00:00","""Olá, nós estamos visitando aqui o estande do IF Baiano. A ciência, tecnologia e cultura. São vários estudantes, são vários estandes, ...""","https://www.instagram.com/p/DXjwpxxDe38/?img_index=2","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Guanambi","ifbaianoguanambi","DXkrO1yEW7H","25/04/2026 00:00","""Nossas crianças participaram da 4ª edição da Tenda da Ciência, no IF Baiano – Campus Guanambi. Um momento de aprendizado, curiosidade e ...""","https://www.instagram.com/p/DXkrO1yEW7H/?img_index=4","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Guanambi","ifbaianoguanambi","DX205ZsjN-j","02/05/2026 00:00","""No último sábado, os estudantes do PartiuIF do IF Baiano Campus Guanambi participaram da Tenda da Ciência, um evento promovido pela ...""","https://www.instagram.com/reel/DX205ZsjN-j/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DXj2RDkjY-d","25/04/2026 00:00","""Vem aí a 4ª edição da Tenda da Ciência, um evento realizado pelo Instituto Federal Baiano na grande mobilização em torno da educação científica.""","https://www.instagram.com/p/DXj2RDkjY-d/?__d=dist","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Guanambi","ifbaianoguanambi","DYUa633RGjW","14/05/2026 17:17","""... likes, 9 comments - ifbaianoguanambi on May 14, 2026 ... Join IF BAIANO - CAMPUS GUANAMBI on Instagram. Sign up for Instagram.""","https://www.instagram.com/reel/DYUa633RGjW/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Guanambi","ifbaianoguanambi","CxOivoKJVmX","16/05/2026 15:39","""O Instituto Federal Baiano (IF Baiano) firmou um acordo de cooperação e intercâmbio acadêmico e técnico institucional com a Universidad ...""","https://www.instagram.com/reel/CxOivoKJVmX/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DFpoQxPuvby","16/05/2026 15:39","""821 likes, 5 comments - ifbaianoguanambi on February 4, 2025: '** IF Baiano Campus Guanambi recebe cerca de 500 novos alunos!""","https://www.instagram.com/p/DFpoQxPuvby/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DXo_r_ZkXIM","02/05/2026 15:39","""O IF Baiano Campus Guanambi teve sua atuação em pesquisas com bananicultura evidenciada durante a XXV Reunião da ACORBAT, realizada no México. O ...""","https://www.instagram.com/reel/DXo_r_ZkXIM/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","CxaYuRLgduD","16/05/2026 15:39","""O Instituto Federal Baiano - Campus Guanambi, por meio do Núcleo de Estudos Afro-Brasileiros e Indígenas (Neabi) e do Grêmio Estudantil ...""","https://www.instagram.com/p/CxaYuRLgduD/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DFKt3KvuDzv","16/05/2026 15:39","""IF Baiano – Campus Guanambi Inscrições: 25/03 a 05/04 Confira o edital completo nos canais oficiais da instituição #IFBaiano #Guanambi # ...""","https://www.instagram.com/p/DFKt3KvuDzv/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DX2znhVjD3Z","02/05/2026 00:00","""No último sábado, os estudantes do PartiuIF do IF Baiano Campus Guanambi participaram da Tenda da Ciência, um evento promovido pela ...""","https://www.instagram.com/p/DX2znhVjD3Z/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DYXVw28RwC5","15/05/2026 18:23","""parabéns ao IF Baiano Guanambi!. hallanaeng ... Join IF BAIANO - CAMPUS GUANAMBI on Instagram. Sign up for Instagram.""","https://www.instagram.com/reel/DYXVw28RwC5/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Guanambi","ifbaianoguanambi","C4QYqESASW5","18/05/2026 18:23","""Para compor este grupo, a professora Paula Patrícia, idealizadora da dinâmica, convidou profissionais experientes e empreendedores da região de Guanambi.""","https://www.instagram.com/p/C4QYqESASW5/embed/captioned/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","5"
"Guanambi","ifbaianoguanambi","DYU_jDpFmVk","14/05/2026 18:23","""Vem aí uma semana cheia de conhecimento, troca de experiências e inovação! Confira nossa programação, inscreva-se e faça parte da 4ª Semana de ...""","https://www.instagram.com/p/DYU_jDpFmVk/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Guanambi","ifbaianoguanambi","DYcc4izxliD","17/05/2026 18:28","""... IF Baiano campus Guanambi durante a Expo Guanambi foi um verdadeiro ... ifbaianoguanambi @fapesb @cnpq_oficial .'.""","https://www.instagram.com/reel/DYcc4izxliD/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Guanambi","ifbaianoguanambi","DXh3BP3D-nn","24/04/2026 00:00","""In Guanambi, Praça do Feijão has transformed into a large science tent. The IF Baiano event, supported by the Ministry of Science, Technology ...""","https://www.instagram.com/reel/DXh3BP3D-nn/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Guanambi","ifbaianoguanambi","DA3uoJAv-io","20/05/2026 19:56","""O IF Baiano está com inscrições abertas para cursos FIC nos campi Uruçuca e Itaberaba — seleção por ordem de inscrição. Uruçuca: 20 vagas por ...""","https://www.instagram.com/p/DA3uoJAv-io/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Guanambi","ifbaianoguanambi","C-uwLpPuaAk","20/05/2026 19:56","""Na próxima segunda-feira, 19 de agosto de 2024, o Instituto Federal Baiano (IF Baiano) - Campus Guanambi realizará uma importante reunião de ...""","https://www.instagram.com/p/C-uwLpPuaAk/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Guanambi","ifbaianoguanambi","DX21D6ajBCS","02/05/2026 00:00","""No último sábado, os estudantes do PartiuIF do IF Baiano Campus Guanambi participaram da Tenda da Ciência, um evento promovido pela ...""","https://www.instagram.com/p/DX21D6ajBCS/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Guanambi","ifbaianoguanambi","DYSiEzFxhV6","13/05/2026 00:00","""O IF Baiano – Campus Guanambi está presente na ExpoGuanambi 2026! · Começou a Expo Guanambi 2026!!! · A alegria está de volta à Guanambi e o ICEI ...""","https://www.instagram.com/p/DYSiEzFxhV6/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Guanambi","ifbaianoguanambi","DYpWKFfx1qk","22/05/2026 19:59","""✓ Agricultura – 80 vagas ✓ Zootecnia – 40 vagas ✓ Ensino 100% gratuito. As inscrições/matrículas serão realizadas de 25 de maio a 31 de julho, ...""","https://www.instagram.com/p/DYpWKFfx1qk/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
