"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Serrinha","ifbaianoserrinha","DVODZPMjhLc","26/02/2026 00:00","""O IF Baiano – Campus Santa Inês convida toda a comunidade acadêmica para a Aula Inaugural dos Cursos Superiores — um momento pensado para ...""","https://www.instagram.com/p/DVODZPMjhLc/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","2"
"Serrinha","ifbaianoserrinha","DVMX-Czkk9e","25/02/2026 00:00","""122 likes. ifbaianoserrinha. Entre os dias 29 e 30 de abril, o IF Baiano Campus Serrinha marcará presença em mais uma edição da Expo Serrinha!""","https://www.instagram.com/p/DVMX-Czkk9e/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","2"
"Serrinha","ifbaianoserrinha","DXu5IQPCcLd","29/04/2026 00:00","""Vem aí uma semana cheia de conhecimento, troca de experiências e inovação! Confira nossa programação, inscreva-se e faça parte da 4ª Semana de ...""","https://www.instagram.com/p/DXu5IQPCcLd/?img_index=7","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Serrinha","ifbaianoserrinha","DV3YY5tDRxN","14/03/2026 00:00","""Há 10 anos, o IF Baiano Campus Serrinha vem construindo uma história marcada pelo compromisso com a educação pública, gratuita e de ...""","https://www.instagram.com/p/DV3YY5tDRxN/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","3"
"Serrinha","ifbaianoserrinha","DWyjTC4jtqF","06/04/2026 00:00","""A qualificação da Mostra de Alimentos aconteceu no dia 31/03, no IF Baiano – Campus Serrinha, marcando um momento de muita dedicação, ...""","https://www.instagram.com/p/DWyjTC4jtqF/?img_index=6","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Serrinha","ifbaianoserrinha","DWURbGnkbKa","25/03/2026 00:00","""Há 10 anos, o IF Baiano Campus Serrinha vem construindo uma história marcada pelo compromisso com a educação pública, gratuita e de ...""","https://www.instagram.com/p/DWURbGnkbKa/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","3"
"Serrinha","ifbaianoserrinha","DUi-SfwDs94","09/02/2026 00:00","""ifbaianoserrinha on February 9, 2026: 'No dia 14 de março, o IF Baiano celebra uma década de atuação no Território do Sisal!""","https://www.instagram.com/p/DUi-SfwDs94/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","2"
"Serrinha","ifbaianoserrinha","DXzK-ZDDYUk","01/05/2026 00:00","""Nos dias 29 e 30 de abril, o IF Baiano Campus Serrinha participou de mais uma edição da ExpoSerrinha, reafirmando seu compromisso com a ...""","https://www.instagram.com/p/DXzK-ZDDYUk/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Serrinha","ifbaianoserrinha","DXzKjhtjec4","01/05/2026 00:00","""Nos dias 29 e 30 de abril, o IF Baiano Campus Serrinha participou de mais uma edição da ExpoSerrinha, reafirmando seu compromisso com a ...""","https://www.instagram.com/p/DXzKjhtjec4/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Serrinha","ifbaianoserrinha","DWSLwZbDnHS","17/04/2026 15:44","""HÁ DEZ ANOS, o IF BAIANO CAMPUS SERRINHA VEM SENDO CONSTRUÍDO POR HISTÓRIAS, ENCONTROS E APRENDIZAGENS. PARA CELEBRAR ESSA TRAJETÓRIA, ...""","https://www.instagram.com/p/DWSLwZbDnHS/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Serrinha","ifbaianoserrinha","DDsDGOKNpXs","17/05/2026 15:44","""Entre cuidados, afetos e presenças, diferentes histórias atravessam o cotidiano do IF Baiano Campus Serrinha. Neste Dia das Mães, celebramos ...""","https://www.instagram.com/reel/DDsDGOKNpXs/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Serrinha","ifbaianoserrinha","DI0-_HFO5BT","17/05/2026 15:44","""O IF Baiano Campus Serrinha está com 12 vagas disponíveis para o Programa Partiu IF.""","https://www.instagram.com/p/DI0-_HFO5BT/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Serrinha","ifbaianoserrinha","DIbq0rFOUDp","17/05/2026 15:44","""ifbaianoserrinha on April 14, 2025: 'O IF Baiano Campus Serrinha tem a alegria de compartilhar a 6ª edição do Jornal IF Sisal!""","https://www.instagram.com/p/DIbq0rFOUDp/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Serrinha","ifbaianoserrinha","DWWZbFTjS8w","17/04/2026 15:44","""Celebrar os 10 anos do IF Baiano Campus Serrinha é celebrar oportunidades, sonhos e transformação de vidas! São 10 anos de compromisso com a ...""","https://www.instagram.com/p/DWWZbFTjS8w/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Serrinha","ifbaianoserrinha","DDefby5tuJz","17/05/2026 15:44","""A Sophia tem um recado para você!!! · Entre cuidados, afetos e presenças, diferentes histórias atravessam o cotidiano do IF Baiano Campus ...""","https://www.instagram.com/reel/DDefby5tuJz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Serrinha","ifbaianoserrinha","DYFPrXFgEtN","08/05/2026 00:00","""... IF Baiano - Campus Serrinha Apresentação cultural de banda ao vivo com tema junino ... Join C.A Charles Darwin - IF Baiano Serrinha on Instagram.""","https://www.instagram.com/p/DYFPrXFgEtN/?img_index=7","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
