"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Uruçuca","ifbaiano_urucuca","DW1NWEYEdT4","13/04/2026 16:40","""✨ Nova exposição na biblioteca! A Biblioteca do IF Baiano – Campus Uruçuca preparou uma seleção especial com temas em destaque: autismo, povos ...""","https://www.instagram.com/p/DW1NWEYEdT4/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Uruçuca","ifbaiano_urucuca","DYAmToNAot5","07/05/2026 16:40","""O Instituto Federal Baiano – Campus Uruçuca realizou, no dia 29 de abril de 2026, uma reunião institucional com representantes acadêmicos e ...""","https://www.instagram.com/p/DYAmToNAot5/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Uruçuca","ifbaiano_urucuca","DArUdpMx-FJ","13/05/2026 16:40","""Agora você pode! Estamos com o Projeto Portas Abertas em ação, e sua escola pode agendar uma visita para explorar o nosso campus, guiado pelos ...""","https://www.instagram.com/reel/DArUdpMx-FJ/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Uruçuca","ifbaiano_urucuca","DXhqEqmFGbK","29/04/2026 16:40","""✨ Na última semana, o IF Baiano – Campus Uruçuca realizou a Aula Inaugural do programa #PartiuIF, marcando o início de uma nova jornada para os ...""","https://www.instagram.com/p/DXhqEqmFGbK/?img_index=5","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Uruçuca","ifbaiano_urucuca","DTifq9tk5pm","12/02/2026 16:40","""ENGENHARIA DE ALIMENTOS IF Baiano Campus Uruçuca Egressos do curso 31 17 estão trabalhando na área de Alimentos 8 estão fazendo Mestrado m 4 ...""","https://www.instagram.com/p/DTifq9tk5pm/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","2"
"Uruçuca","ifbaiano_urucuca","DXcNP8ZDzGm","22/04/2026 16:40","""Os(as) estudantes já podem conferir a lista completa no site institucional. Acesse: https://www.ifbaiano.edu.br/unidades/urucuca/2026/02/27/ ...""","https://www.instagram.com/p/DXcNP8ZDzGm/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Uruçuca","ifbaiano_urucuca","DYM2Ae1jlvc","11/05/2026 16:40","""❣️Comunidade e Parceiros: Que caminham lado a lado conosco, fortalecendo o papel social do IF Baiano no território do Piemonte do Paraguaçu.""","https://www.instagram.com/p/DYM2Ae1jlvc/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","5"
"Uruçuca","ifbaiano_urucuca","DXMbGvLgRZV","16/04/2026 00:00","""Uruçuca: 20 vagas por curso (fabricação de alimentos, geleias, chocolate, informática básica e Instagram para empreendedores). Inscrições até ...""","https://www.instagram.com/reel/DXMbGvLgRZV/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","4"
"Uruçuca","ifbaiano_urucuca","DXFDikvjixN","13/04/2026 00:00","""O IF Baiano – Campus Uruçuca convoca os(as) estudantes selecionados(as) para realizarem suas matrículas no programa Partiu IF. Datas: 08 e 09/ ...""","https://www.instagram.com/p/DXFDikvjixN/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Uruçuca","ifbaiano_urucuca","DW972lvFoAd","10/04/2026 00:00","""Estão abertas as inscrições para a escolha do(a) Representante dos Estudantes Alojados do IF Baiano – Campus Uruçuca. O processo é uma ...""","https://www.instagram.com/p/DW972lvFoAd/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
