"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Valença","ifbaiano_valenca","DVesaaSDbve","04/03/2026 00:00","""... likes, 2 comments - ifbaiano_valenca on March 4, 2026 ... IF Baiano – Campus Valença fortaleceu sonhos e abriu caminhos ...""","https://www.instagram.com/reel/DVesaaSDbve/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","3"
"Valença","ifbaiano_valenca","DTlm75jjkmz","16/01/2026 00:00","""Venha fazer parte do IF Baiano! Use sua nota do Enem 2025 e ingresse em nosso curso de Licenciatura em Ciências Biológicas pelo SISU 2026!""","https://www.instagram.com/p/DTlm75jjkmz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","1"
"Valença","ifbaiano_valenca","DWjxiFMkaKI","31/03/2026 00:00","""✨ **Novo ciclo de gestão no IF Baiano Campus Valença** A cerimônia de posse dos Diretores-Gerais do IF Baiano, realizada no Tribunal Regional ...""","https://www.instagram.com/p/DWjxiFMkaKI/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","3"
"Valença","ifbaiano_valenca","DUUFZ3TjcEg","03/02/2026 00:00","""ifbaiano_valenca. •. Follow. Photo by IF Baiano Campus Valença - Educação Pública Federal on March 07, 2026. ... © 2026 Instagram from Meta.""","https://www.instagram.com/reel/DUUFZ3TjcEg/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","2"
"Valença","ifbaiano_valenca","DWOc9oyjh2p","23/03/2026 00:00","""O IF Baiano – Campus Valença está com vagas abertas para cursos de Formação Inicial e Continuada (FIC). Não perca essa oportunidade! Cursos ...""","https://www.instagram.com/p/DWOc9oyjh2p/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","3"
"Valença","ifbaiano_valenca","DWTjPxyjlI3","25/03/2026 00:00","""**Aprender é um ato de conexão, inclusão e transformação!** O IF Baiano – Campus Valença está com inscrições abertas para o **Curso de Libras ...""","https://www.instagram.com/ifbaiano_valenca/p/DWTjPxyjlI3/?hl=zh-cn","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","3"
"Valença","ifbaiano_valenca","DTNkIytDh87","07/01/2026 00:00","""*Período de inscrição: 30/03 a 09/04/2026* O IF Baiano – Campus Valença está com vagas abertas para cursos de Formação Inicial e Continuada (FIC) ...""","https://www.instagram.com/p/DTNkIytDh87/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","1"
"Valença","ifbaiano_valenca","DUTTPOPjpSL","03/02/2026 00:00","""Onde realizar a matrícula: ✔️ Secretaria do IF Baiano – Campus Valença ✔️ Balcão Digital ⚠️ Fique atento: a matrícula é obrigatória para garantir ...""","https://www.instagram.com/p/DUTTPOPjpSL/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","2"
"Valença","ifbaiano_valenca","DVlb9kAjY2R","07/03/2026 00:00","""✨ Estudante do 9º ano, essa oportunidade é pra você! Temos vagas disponíveis para o programa Partiu IF no IF Baiano – Campus Uruçuca. Uma ...""","https://www.instagram.com/p/DVlb9kAjY2R/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","3"
"Valença","ifbaiano_valenca","DXkEpBEjhOO","25/04/2026 00:00","""... likes, 9 comments - ifbaiano_valenca on April 25, 2026: 'Hoje foi ... Instagram. Log in · Open app · ifbaiano_valenca's profile picture.""","https://www.instagram.com/reel/DXkEpBEjhOO/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Valença","ifbaiano_valenca","?hl=ml","25/04/2026 00:00","""Ensino técnico integrado ao ensino médio - Ensino técnico subsequente - Graduação - Pós-graduação - Educação para a Sustentabilidade.""","https://secure.instagram.com/ifbaiano_valenca/reels/?hl=ml","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Valença","ifbaiano_valenca","DYUkPsvNpjK","14/05/2026 15:45","""... profile picture. ifbaiano_valenca. •. Follow. Photo by IF Baiano Campus Valença - Educação Pública Federal on May 04, 2026. 79 likes.""","https://www.instagram.com/reel/DYUkPsvNpjK/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Valença","ifbaiano_valenca","DYpQ1-LO79U","22/05/2026 18:23","""Nos dias 22 e 23 de maio de 2026, as atividades acadêmicas e administrativas estarão suspensas para manutenção da energia elétrica.""","https://www.instagram.com/p/DYpQ1-LO79U/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Valença","ifbaiano_valenca","DHegh_qOa_e","25/05/2026 18:13","""Cada monitor receberá 8 parcelas de bolsas, no valor de R$700,00 (setecentos reais), referentes ao período de abril a novembro de 2025. Para ...""","https://www.instagram.com/p/DHegh_qOa_e/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","5"
"Valença","ifbaiano_valenca","DY4jM2tu9o1","28/05/2026 20:42","""Inscrições de 30/05 a 04/06/2026 ✓ 01 vaga para cada área. Não deixe passar essa chance de fazer parte do Instituto Federal Baiano!""","https://www.instagram.com/p/DY4jM2tu9o1/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
