"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Xique_Xique","ifbaiano.xiquexique","DWpI4psCTxA","02/04/2026 00:00","""Parabéns pela aprovação! O IF Baiano Campus Xique-Xique segue orgulhoso de fazer parte dessa conquista! #ifbaianoxiquexique #ProUni # ...""","https://www.instagram.com/p/DWpI4psCTxA/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","4"
"Xique_Xique","ifbaiano.xiquexique","DW9pdBRCTaT","10/04/2026 00:00","""INSTITUTO FEDERAL Baiano SELEÇÃO DE Campus Xique-Xique Xique MONITORIA VAGAS PARA: Física História L Língua Portuguesa Matemática Química ...""","https://www.instagram.com/p/DW9pdBRCTaT/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Xique_Xique","ifbaiano.xiquexique","DWC_QAiiU31","18/03/2026 00:00","""... likes, 0 comments - ifbaiano.xiquexique on March 18, 2026 ... Join IF Baiano Campus Xique-Xique on Instagram. Sign up for Instagram.""","https://www.instagram.com/reel/DWC_QAiiU31/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","3"
"Xique_Xique","ifbaiano.xiquexique","DVMPrlTCWIz","25/02/2026 00:00","""A MAIOR LISTA de aprovados da Bahia! O Zênite está presente em TODA A BAHIA! Aprovações em cursos de todas as áreas!""","https://www.instagram.com/p/DVMPrlTCWIz/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","2"
"Xique_Xique","ifbaiano.xiquexique","DXpN8zfidVi","27/04/2026 00:00","""No último sábado, o IF Baiano Campus Xique-Xique promoveu um encontro marcante de reflexão e memória. Em alusão ao Abril Vermelho e ao Dia ...""","https://www.instagram.com/p/DXpN8zfidVi/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","4"
"Xique_Xique","ifbaiano.xiquexique","DUiJ4XGjUZz","09/02/2026 00:00","""Parabéns pela aprovação no SISU 2026! O IF Baiano Campus Xique-Xique segue orgulhoso de fazer parte dessa conquista! #OrgulhoIFBaiano # ...""","https://www.instagram.com/ifbaiano.xiquexique/p/DUiJ4XGjUZz/?hl=cs","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","2"
"Xique_Xique","ifbaiano.xiquexique","DV_vgiqCdST","17/03/2026 00:00","""No dia 21 de março, o IF Baiano Campus Xique-Xique abre suas portas para um evento imperdível em celebração ao Dia do Técnico em Meio Ambiente ...""","https://www.instagram.com/p/DV_vgiqCdST/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","3"
"Xique_Xique","ifbaiano.xiquexique","DWCnHIEFWzT","18/03/2026 00:00","""✨ OPORTUNIDADE NO IF BAIANO – CAMPUS XIQUE-XIQUE Estão abertas as inscrições para o Programa de Tutoria de Pares – NAPNE! Se você é estudante ...""","https://www.instagram.com/p/DWCnHIEFWzT/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","3"
"Xique_Xique","ifbaiano.xiquexique","DX_y8dRkb4u","06/05/2026 16:41","""Celebrando história, serviço e compromisso com a comunidade! O IF Baiano Campus Xique-Xique marcou presença na cerimônia dos 20 anos do Rotary ...""","https://www.instagram.com/p/DX_y8dRkb4u/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Xique_Xique","ifbaiano.xiquexique","DUbcGYYCZW3","06/02/2026 00:00","""Parabéns pela aprovação no SISU 2026! O IF Baiano Campus Xique-Xique segue orgulhoso de fazer parte dessa conquista! #OrgulhoIFBaiano # ...""","https://www.instagram.com/p/DUbcGYYCZW3/?hl=af","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","2"
"Xique_Xique","ifbaiano.xiquexique","DTfzTqajW3s","14/01/2026 00:00","""Cursos disponíveis: ✓ Técnico em Agropecuária ✓ Técnico em Meio Ambiente Período de inscrição: De 14/01 a 28/01/2026 Inscreva-se em: ...""","https://www.instagram.com/p/DTfzTqajW3s/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","1"
"Xique_Xique","ifbaiano.xiquexique","DXg8RUngFPK","24/04/2026 00:00","""46 likes, 0 comments - akarneiro60 on April 24, 2026: 'Visita do IF BAIANO Xique Xique BA'.""","https://www.instagram.com/p/DXg8RUngFPK/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Xique_Xique","ifbaiano.xiquexique","DXKNIchCm6V","15/04/2026 00:00","""Alô, alunado do IF Baiano – Campus Xique-Xique! · Cuidar de um colégio público é mais do que uma obrigação, é um compromisso coletivo. · Ei, já ...""","https://www.instagram.com/reel/DXKNIchCm6V/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
"Xique_Xique","ifbaiano.xiquexique","DXhYeHxDk0h","24/04/2026 00:00","""ifbaiano.xiquexique. Você é servidor (a) do IF Baiano e precisa de uma força para se qualificar? Então chegou seu momento! Foi publicado o ...""","https://www.instagram.com/p/DXhYeHxDk0h/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","4"
"Xique_Xique","ifbaiano.xiquexique","DYSG-eKDeG4","13/05/2026 17:19","""Nossos estudantes participaram de uma manhã de aprendizado e conscientização sobre higiene oral. Pequenos cuidados diários fazem uma grande ...""","https://www.instagram.com/p/DYSG-eKDeG4/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Xique_Xique","ifbaiano.xiquexique","DYW4XVsRrhh","15/05/2026 15:45","""As inscrições acontecem de 14/05 à 25/05. Participe registrando paisagens, cultura, tradições, pessoas e elementos que representam a identidade ...""","https://www.instagram.com/p/DYW4XVsRrhh/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Xique_Xique","ifbaiano.xiquexique","DYaknEYJY86","16/05/2026 18:29","""O IFCE campus Crateús manifesta profundo pesar pelo falecimento do professor Valricélio Menezes Xavier, ocorrido nesta sexta-feira, 8 de maio de ...""","https://www.instagram.com/p/DYaknEYJY86/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","5"
"Xique_Xique","ifbaiano.xiquexique","DYS3nFnFB60","13/05/2026 00:00","""PROHIBIDO SACAR PARQUE NACIONAL MORROCOY Cayo Sombrero Venezuela Nuestro Ecosistema es perfecto pero frágil INPARQUES ADKN-TU-0822 ...""","https://www.instagram.com/p/DYS3nFnFB60/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Xique_Xique","ifbaiano.xiquexique","DYmswgggY39","21/05/2026 18:23","""INSTITUTO Cassiano Santos Estudante do IF Baiano Campus Xique-Xique ESTUDANTE DO CURSO TÉCNICO BeirT . ... ifbaiano.xiquexique.""","https://www.instagram.com/reel/DYmswgggY39/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","3","5"
"Xique_Xique","ifbaiano.xiquexique","DYXPayekR3w","15/05/2026 00:00","""ESTÃO PREPARADOS??? Vem aí a 2a edição dos Jogos Internos do IF Baiano - Campus Xique-Xique!!! Nossas equipes já estão formadas e esse ano irão ...""","https://www.instagram.com/p/DYXPayekR3w/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Xique_Xique","ifbaiano.xiquexique","DYp1yQ5CdOa","22/05/2026 19:37","""Durante a visita técnica a Morro do Chapéu, os alunos do curso técnico em Meio Ambiente do IF Baiano tiveram a oportunidade de vivenciar, ...""","https://www.instagram.com/p/DYp1yQ5CdOa/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","5"
"Xique_Xique","ifbaiano.xiquexique","DYxbs87Jp9w","25/05/2026 19:41","""SALVE ESSA DATA! No dia 11 de outubro de 2026, o IF Baiano Campus Xique-Xique realizará a tão esperada Corrida no Campus, em comemoração aos 10 ...""","https://www.instagram.com/p/DYxbs87Jp9w/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","5"
"Xique_Xique","ifbaiano.xiquexique","CC3j6joFbAi","27/05/2026 19:41","""Acesse a matéria completa disponível no portal do IF Baiano. O link estará nos stories! #IFBaiano #XiqueXique #Arqueologia #Ciência ...""","https://www.instagram.com/p/CC3j6joFbAi/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
