"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes","tipo"
"Itapetinga","ifbaiano_itapetinga","?__d=1Soul%E7%94%B7%E5%8F%B7%E6%89%B9%E5%8F%91%E5%95%86%E5%9F%8E%E2%9C%94%EF%B8%8F%2Bweixinle.com%2B%E2%AD%90%2B%2B%E7%9A%87%E5%86%A0%E7%AD%89%E7%BA%A79%E4%B8%BAQQ%E5%8F%B7%E5%87%BA%E6%B5%B7%E7%A5%9E%E5%99%A8","11/06/2026 15:40","""10K followers · 737 posts · Instituto Federal de Educação, Ciência e Tecnologia Baiano - Campus Itapetinga. Ensino Pesquisa Extensão.""","https://www.instagram.com/ifbaiano_itapetinga/reels/?__d=1Soul%E7%94%B7%E5%8F%B7%E6%89%B9%E5%8F%91%E5%95%86%E5%9F%8E%E2%9C%94%EF%B8%8F%2Bweixinle.com%2B%E2%AD%90%2B%2B%E7%9A%87%E5%86%A0%E7%AD%89%E7%BA%A79%E4%B8%BAQQ%E5%8F%B7%E5%87%BA%E6%B5%B7%E7%A5%9E%E5%99%A8","","3","6","Reel"
"Governador_Mangabeira","ifbaiano.govmangabeira","DZamLFsFEAr","10/06/2026 14:38","""94 likes, 1 comments - ifbaiano.govmangabeira on June 10, 2026: ' Reunião de Alinhamento Estratégico O IF Baiano – Campus Governador ...""","https://www.instagram.com/p/DZamLFsFEAr/","","2","6","Post"
"Xique_Xique","ifbaiano.xiquexique","DZIIySylA-y","03/06/2026 00:00","""XIQUE-XIQUE – O Instituto Federal Baiano (IF Baiano), Campus ... ifbaiano.xiquexique. Inovação, criatividade e muito aprendizado na ...""","https://www.instagram.com/reel/DZIIySylA-y/","","2","6","Reel"
"Itapetinga","ifbaiano_itapetinga","DY7Buiwxrlq","29/05/2026 00:00","""Did you know there is a commission within IF Baiano dedicated to listening to the community, evaluating the institution, and proposing ...""","https://www.instagram.com/reel/DY7Buiwxrlq/","","4","5","Reel"
"Itaberaba","ifbaiano.itaberaba","DY7XpQGOfLi","29/05/2026 00:00","""... ifbaiano.itaberaba ... IF Baiano Campus Itaberaba INSTITUTO FEDERAL Baiano Campus Itaberaba ...""","https://www.instagram.com/reel/DY7XpQGOfLi/","","4","5","Reel"
"Xique_Xique","ifbaiano.xiquexique","DYmswgggY39","21/05/2026 00:00","""... ifbaiano.xiquexique no povoado do Rumo em Xique-Xique. O aluno ... Pesquisadores do Instituto Federal Baiano (IF Baiano) encontraram ...""","https://www.instagram.com/reel/DYmswgggY39/","","3","5","Reel"
"Uruçuca","ifbaiano_urucuca","DYf2DNURcJf","18/05/2026 00:00","""O IFBA Campus Juazeiro está com inscrições abertas para Cursos Técnicos Subsequentes (2026.2)! Período de inscrições: de 07/05 (a partir das 15h) ...""","https://www.instagram.com/p/DYf2DNURcJf/","","0","5","Post"
"Senhor_do_Bonfim","ifbaianobonfimoficial","DYfAbvOu7bd","18/05/2026 00:00","""ifbaianobonfimoficial. •. Follow ... Photo by Curso Técnico em Alimentos IF Baiano Senhor do Bonfim on May 27, 2026.""","https://www.instagram.com/reel/DYfAbvOu7bd/","","0","5","Reel"
"Valença","ifbaiano_valenca","DYUkPsvNpjK","14/05/2026 00:00","""... likes, 5 comments - ifbaiano_valenca on May 14, 2026 ... Photo by IF Baiano Campus Valença - Educação Pública Federal on May 04, 2026.""","https://www.instagram.com/reel/DYUkPsvNpjK/","","3","5","Reel"
"Itapetinga","ifbaiano_itapetinga","DYALW0CjlYN","12/05/2026 15:40","""ATENÇÃO: CATAPORA (VARICELA) Informações e cuidados para a comunidade escolar A catapora é uma doença contagiosa comum na infância, ...""","https://www.instagram.com/p/DYALW0CjlYN/","","1","5","Post"
